frame,cycles
0,0021ed9e
1,0021c571
2,0021904c
3,00214230
4,0020fd8d
5,0020d235
6,00208abc
7,0021b243
8,002298d5
9,00236c9d
10,00241a26
11,0024a5fd
12,00251f68
13,0025a7e5
14,00261d19
15,0026a833
16,002736cd
17,0027d5c0
18,00286ea6
19,0028f02a
20,0029b292
21,002a43e4
22,002a986d
23,002ad0cb
24,002addad
25,002ad27a
26,002ac1d2
27,002ad57d
28,002af417
29,002ad0b6
30,002a8467
31,002a3023
32,0029d3d5
33,00296488
34,00297114
35,00299673
36,00297bd6
37,00292350
38,00289e1b
39,00283495
40,00281d5a
41,0027bc07
42,002912e4
43,002aecbe
44,002cf3cf
45,002f0d9f
46,00315e1d
47,00342c4d
48,00374815
49,0039d0e0
50,003c470b
51,003ec778
52,0042a682
53,0045c2cd
54,001587bc
55,0015e7d7
56,00165089
57,00168032
58,0016ea39
59,00174ddf
60,001786ab
61,0017f30c
62,00182936
63,00188cbf
64,0018c13b
65,00193cd6
66,00197e90
67,0019bcc0
68,001a4621
69,001a7d16
70,001af949
71,001b2fcc
72,001b76e2
73,001be43d
74,001c2803
75,001c5ce2
76,001c99c7
77,001d269b
78,001d6ede
79,001dadfb
80,001e30bf
81,001e7762
82,001eb623
83,001eebe1
84,001f1025
85,001f48ec
86,001fa599
87,001fd032
88,001fdaa4
89,001fe9ad
90,001fe8e8
91,001fe422
92,001fe726
93,001fea34
94,001fdbd5
95,001fdf15
96,001feaf8
97,002005d4
98,00201f46
99,00208249
100,0020a6a3
101,0020d7f7
102,00210031
103,0021191c
104,00213556
105,00215a8e
106,0021665a
107,0021709e
108,002196f6
109,0021a5b8
110,0021d5c3
111,0021ea4c
112,00220208
113,0021fd2c
114,0021ed9e
115,0021c571
116,0021904c
117,00214230
118,0020fd8d
119,0020d235
120,00208abc
121,0021b243
122,002298d5
123,00236c9d
124,00241a26
125,0024a5fd
126,00251f68
127,0025a7e5
128,00261d19
129,0026a833
130,002736cd
131,0027d5c0
132,00286ea6
133,0028f02a
134,0029b292
135,002a43e4
136,002a986d
137,002ad0cb
138,002addad
139,002ad27a
140,002ac1d2
141,002ad57d
142,002af417
143,002ad0b6
144,002a8467
145,002a3023
146,0029d3d5
147,00296488
148,00297114
149,00299673
150,00297bd6
151,00292350
152,00289e1b
153,00283495
154,00281d5a
155,0027bc07
156,002912e4
157,002aecbe
158,002cf3cf
159,002f0d9f
160,00315e1d
161,00342c4d
162,00374815
163,0039d0e0
164,003c470b
165,003ec778
166,0042a682
167,0045c2cd
168,00495ae5
169,0015e7d7
170,001622dc
171,00168032
172,0016b4f0
173,00171ccf
174,00174ddf
175,0017ba8f
176,00182936
177,00185eda
178,0018c13b
179,0018fdca
180,00193cd6
181,0019bcc0
182,001a09fb
183,001a7d16
184,001ac109
185,001af949
186,001b76e2
187,001ba0b1
188,001be43d
189,001c5ce2
190,001c99c7
191,001ce1b6
192,001d269b
193,001dadfb
194,001df40e
195,001e30bf
196,001e7762
197,001eb623
198,001eebe1
199,001f48ec
200,001f7066
201,001fa599
202,001fd032
203,001fe9ad
204,001fe8e8
205,001fe422
206,001fe726
207,001fea34
208,001fe242
209,001fdbd5
210,001fdf15
211,002005d4
212,00201f46
213,00204cbf
214,00208249
215,0020a6a3
216,0020d7f7
217,00210031
218,0021191c
219,00215a8e
220,0021665a
221,0021709e
222,002196f6
223,0021a5b8
224,0021b31c
225,0021d5c3
226,0021ea4c
227,00220208
228,0021fd2c
229,0021ed9e
230,0021c571
231,00214230
232,0020fd8d
233,0020d235
234,00208abc
235,0020dcce
236,0021b243
237,002298d5
238,00236c9d
239,00241a26
240,0024a5fd
241,00251f68
242,0025a7e5
243,00261d19
244,0026a833
245,002736cd
246,0027d5c0
247,00286ea6
248,0028f02a
249,0029b292
250,002a43e4
251,002a986d
252,002ad0cb
253,002addad
254,002ad27a
255,002ac1d2
256,002ad57d
257,002af417
258,002ad0b6
259,002a8467
260,002a3023
261,0029d3d5
262,00296488
263,00297114
264,00299673
265,00297bd6
266,00292350
267,00289e1b
268,00283495
269,00281d5a
270,0027bc07
271,002912e4
272,002aecbe
273,002cf3cf
274,002f0d9f
275,00315e1d
276,00342c4d
277,00374815
278,0039d0e0
279,003c470b
280,003ec778
281,0042a682
282,0045c2cd
283,001587bc
284,0015e7d7
285,00165089
286,00168032
287,0016ea39
288,00174ddf
289,001786ab
290,0017f30c
291,00182936
292,00188cbf
293,0018c13b
294,00193cd6
295,00197e90
296,0019bcc0
297,001a4621
298,001a7d16
299,001af949
300,001b2fcc
301,001b76e2
302,001be43d
303,001c2803
304,001c5ce2
305,001c99c7
306,001d269b
307,001d6ede
308,001dadfb
309,001df40e
310,001e7762
311,001eb623
312,001eebe1
313,001f1025
314,001f48ec
315,001fa599
316,001fd032
317,001fdaa4
318,001fe9ad
319,001fe8e8
320,001fe422
321,001fea34
322,001fe242
323,001fdbd5
324,001fdf15
325,001feaf8
326,002005d4
327,00201f46
328,00204cbf
329,0020a6a3
330,0020d7f7
331,00210031
332,0021191c
333,00213556
334,00215a8e
335,0021665a
336,0021709e
337,0021a5b8
338,0021b31c
339,0021d5c3
340,0021ea4c
341,00220208
342,0021fd2c
343,0021ed9e
344,0021c571
345,00214230
346,0020fd8d
347,0020d235
348,00208abc
349,0020dcce
350,0021b243
351,002298d5
352,00236c9d
353,00241a26
354,00251f68
355,0025a7e5
356,00261d19
357,0026a833
358,002736cd
359,0027d5c0
